atomic_number,symbol,name,atomic_empirical,atomic_calculated,van_der_waals,covalent_single,covalent_triple,metallic
82,Pb,lead,1.8,1.54,2.02,1.47,1.37,
83,Bi,bismuth,1.6,1.43,2.07,1.46,1.35,
84,Po,polonium,1.9,1.35,1.97,,1.29,
85,At,astatine,,1.27,2.02,,1.38,
86,Rn,radon,,1.2,2.2,1.45,1.33,
87,Fr,francium,,,3.48,,,
88,Ra,radium,2.15,,2.83,,1.59,
89,Ac,actinium,1.95,,,,1.4,
90,Th,thorium,1.8,,,,1.36,1.79
91,Pa,protactinium,1.8,,,,1.29,1.63
92,U,uranium,1.75,,1.86,,1.18,1.56
93,Np,neptunium,1.75,,,,1.16,1.55
94,Pu,plutonium,1.75,,,,,1.59
95,Am,americium,1.75,,,,,1.73
96,Cm,curium,,,,,,1.74
97,Bk,berkelium,,,,,,1.7
98,Cf,californium,,,,,,1.86
99,Es,einsteinium,,,,,,1.86
100,Fm,fermium,,,,,,
101,Md,mendelevium,,,,,,
102,No,nobelium,,,,,,
103,Lr,lawrencium,,,,,,
104,Rf,rutherfordium,,,,,1.31,
105,Db,dubnium,,,,,1.26,
106,Sg,seaborgium,,,,,1.21,
107,Bh,bohrium,,,,,1.19,
108,Hs,hassium,,,,,1.18,
109,Mt,meitnerium,,,,,1.13,
110,Ds,darmstadtium,,,,,1.12,
111,Rg,roentgenium,,,,,1.18,
112,Cn,copernicium,,,,,1.3,
113,Nh,nihonium,,,,,,
114,Fl,flerovium,,,,,,
115,Mc,moscovium,,,,,,
116,Lv,livermorium,,,,,,
117,Ts,tennessine,,,,,,
118,Og,oganesson,,,,,,
